(0<=boson_pt&&boson_pt<20)	0.567794078742	0.00167879915201	16.0433309274	0.00635666601261	15.0312525472	0.00595566267545	0.00565153796399	0.00563272585259
(20<=boson_pt&&boson_pt<40)	0.818510928358	0.000664504582291	19.5597803598	0.0132701943823	16.6381306108	0.0112880322047	0.0107928104092	0.0104182933286
(40<=boson_pt&&boson_pt<60)	0.922607549023	0.000710425252015	21.7294496203	0.0250287795564	17.7509993944	0.020446145703	0.0208745040371	0.0184455867319
(60<=boson_pt&&boson_pt<80)	0.959826043258	0.000818847878045	23.2821642003	0.0407699292564	18.6201307468	0.0326051362443	0.0199886808786	0.0286730511975
(80<=boson_pt&&boson_pt<100)	0.976809856416	0.000969952352234	24.5664472561	0.0622672120963	19.162824631	0.0485681412417	0.129540564028	0.0417856109814
(100<=boson_pt&&boson_pt<120)	0.986136309077	0.00117078365104	25.7832067158	0.0910754704763	19.3002029437	0.0681445887172	0.158259016072	0.0585484509748
(120<=boson_pt&&boson_pt<160)	0.993962574525	0.00108228927805	28.1464844065	0.107836978943	19.8516171821	0.0756352250694	0.0584171118801	0.0639108253991
(160<=boson_pt&&boson_pt<200)	1.0001168131	0.00151255561769	25.653853338	0.183447836086	20.4937992932	0.130030934241	0.101847753613	0.107322766319
(200<=boson_pt&&boson_pt<300)	1.00132671373	0.00162149993935	30.1323950986	0.564629624793	20.9430437856	0.166350904817	0.0188511706898	0.136595472941
(300<=boson_pt)	1.0000118488	0.00277222579272	82.9280484787	15.6719280705	23.0447278215	0.367974554709	-0.108086809286	0.286722039136
