(0<=boson_pt&&boson_pt<20)	0.795557455295	0.00641843970511	24.3171009705	0.030406164773	24.2295940669	0.0302967459186	-0.00379825060239	0.0064126916113
(20<=boson_pt&&boson_pt<40)	0.911256207507	0.00109713481164	23.7264921332	0.0224087461145	23.452520026	0.0221499308749	-0.00127401881046	0.00108610300749
(40<=boson_pt&&boson_pt<60)	0.877669544812	0.00067025487264	24.0671572395	0.0229830365302	23.4885211592	0.0224302609383	3.10371844643e-05	0.000655883661333
(60<=boson_pt&&boson_pt<80)	0.866774876695	0.000628906438437	25.2312787869	0.030384711786	24.1268960032	0.0290545084462	0.000226020329757	0.000602198045853
(80<=boson_pt&&boson_pt<100)	0.867104146721	0.000681023444595	26.1964420175	0.0424656316024	24.5332205296	0.0397692644298	-0.000686198745583	0.000638792377959
(100<=boson_pt&&boson_pt<120)	0.871178606074	0.000776755249482	27.130261342	0.0593280871033	24.6773846989	0.0539610733316	-0.000233692130494	0.000706677017656
(120<=boson_pt&&boson_pt<160)	0.879138371	0.00069674242448	28.5066117862	0.0659991986979	24.8549249924	0.0575400986392	7.59989487585e-05	0.000606239283201
(160<=boson_pt&&boson_pt<200)	0.886854065649	0.000937598355207	29.932311129	0.113688683895	25.0019503833	0.094934836831	-0.000317740368092	0.000764884493875
(200<=boson_pt&&boson_pt<300)	0.889433896603	0.000945119058824	32.4049594475	0.150309962515	25.3029994982	0.117296975538	-0.000573236942551	0.000719316715997
(300<=boson_pt)	0.894150781278	0.0014228169419	37.478316167	0.334069022936	26.1229278766	0.232261158864	-5.43138495812e-06	0.00095622473404
